Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
;;;;;80;TEEM PET 2L CAIXA C/6;True;True;False;False;True;0;0;0;0.0;25.0;2.0;PET 2;3.0;1.0;25 - PET 2 (Tipo: 2 - REFRIGERANTE);0.0;0;0.0;0.0;0.0;12.93;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;REFRIGERANTE;False;False
;;;;;81;Descricao temporaria CRIADO AUTO;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;101;TEEM LATA 350ML BANDEJA C/24;True;True;False;False;True;0;0;0;0.0;32.0;2.0;LATA 355;2.0;2.0;32 - LATA 355 (Tipo: 2 - REFRIGERANTE);0.0;0;0.0;0.0;0.0;9.29;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;REFRIGERANTE;False;False
;;1000;12.0;SAZ - Bolivia;110;TAQUIÑA EXPORT 1L RET X12;True;False;True;True;False;5;50;50;12.0;1300.0;1300.0;GRB 1000n;10.0;1300.0;1300 - GRB 1000n (Tipo: 1300 - GRB 1000n);1.0;10;1.0;1.0;1.0;22.9;False;False;False;False;;;2.8;10.0;2.1;20.0;1.8667;30.0;1.4;50.0;1.68;50.0;;;False;False
;;;2.0;Brasil;112;ADPT-BRAHMA GUARANA PET 2,25L CAIXA C/6;True;True;False;False;True;0;0;0;0.0;27.0;2.0;PET 2,25;3.0;1.0;27 - PET 2,25 (Tipo: 2 - REFRIGERANTE);0.0;0;0.0;0.0;0.0;14.9;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;REFRIGERANTE;False;False
;;1000;12.0;SAZ - Bolivia;120;TAQUIÑA EXPORT 620CC RET X12 Bolivia;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710n;10.0;1200.0;1200 - GRB 620 - 710n (Tipo: 1200 - GRB 620 - 710n);1.0;11;1.0;1.0;1.0;14.9;False;False;False;False;;;1.2727;22.0;1.2727;33.0;1.2727;44.0;1.2727;55.0;1.2727;66.0;;;False;False
16;CD Oruro;;12.0;SAZ - Bolivia;120;TAQUIÑA EXPORT 620CC RET X12 Bolivia;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710;1.0;1200.0;1200 - GRB 620 - 710 (Tipo: 1200 - GRB 620 - 710);1.0;11;1.0;1.0;1.0;14.9;False;False;False;False;;;1.2727;22.0;1.2727;33.0;1.2727;44.0;1.2727;55.0;1.2727;66.0;;;False;False
;;;2.0;Brasil;127;KAS GUARANA MARACUJA 284ML;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;132;BRAHMA LIGHT LONG NECK 355ML SIX-PACK CAIXA C/4 NO;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;13.59;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;153;ADPT-GUARANA GUANABARA 290ML;True;True;False;False;True;0;0;0;0.0;17.0;2.0;GARRAFA MEIA;1.0;4.0;17 - GARRAFA MEIA (Tipo: 2 - REFRIGERANTE);0.0;0;0.0;0.0;0.0;4.17;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;REFRIGERANTE;False;False
;;1000;12.0;SAZ - Bolivia;170;IMPERIAL 620CC RET X12;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710n;10.0;1200.0;1200 - GRB 620 - 710n (Tipo: 1200 - GRB 620 - 710n);1.0;11;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4516;62.0;0.6667;63.0;0.875;64.0;1.0769;65.0;1.2727;66.0;;;False;False
