Descrição;Descrição Reduzida;Código;Código Reduzido;Controle de Lote;Controle de Data de Expiração;Solicita Data de Fabricação;Vida Útil;Janela de Expiração;Peso;Item de Conversão;Chapatex;Palete;Tipo;Classificação;Nome da classe do produto;Nome do Armazém;Nome do Catálogo;Ativo;Código de barras;Curva;Largura;Altura;Comprimento;Porcentagem Mínima de Vida Útil;Porcentagem de pré-bloqueio
NATURAL ONE LARANJA MACA GFA PET 900ML CX C/6;NATOLAMA GFPET9;35811;35811;False;False;False;;;5,888;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;7899916917020;;;;;;
BRILUX AGUA SANITARIA FRASCO PLAST 1 L C12;BRAGSAN FRPL1LC;35813;35813;False;False;False;;;13,52;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
NATURAL ONE UVA AMBIENTE GFA PET 900ML CX C/6;NATONUVA GFPET9;35815;35815;False;False;False;;;5,888;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;;;;;;;
NATURAL ONE MACA AMBIENTE GFA PET 900ML CX C/6;NATOMAAM GFPET9;35817;35817;False;False;False;;;5,888;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CHEETOS MIX PCTE 36G;ELCHCMI PCTE36G;35818;35818;False;False;False;;;0,038;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO LARANJA FRASCO PLAST 500ML CX/12;BRIMULAR FRASPL;35820;35820;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO LAVANDA FRASCO PLAST 500ML CX/12;BRIMULAV FRASPL;35822;35822;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX AGUA SANITARIA FRASCO PL 5L C2;BRAGSAN FP5LC2;35824;35824;False;False;False;;;11,2;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO LIMAO FRASCO PLAST 500ML CX/12;BRIMULIM FRASPL;35826;35826;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX AGUA SANITARIA FRASCO PLAST 2L CX6;BRAGSAN FRASCPL;35828;35828;False;False;False;;;13;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO LIMAO BIC SOD FRASCO PLAST 500ML C;BRIMLIBIS FRASP;35830;35830;False;False;False;;;7,1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO TERNURA FRASCO PLAST 500ML CX/12;BRIMUTER FRASPL;35832;35832;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO TRADICIONAL FRASCO PLAST 500ML CX/;BRIMUTR FRASPL5;35834;35834;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX MULTIUSO ACAO BACTERICIDA FRASCO PLAST 500M;BRIMUABAC FRASP;35836;35836;False;False;False;;;6,99;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX AGUA SANITARIA FRASCO PLAST 1 L C12 LEVE 1L;BRAGSAN FRPL1LC;35840;35840;False;False;False;;;13,52;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"TERMOPOT COPO DESCARTAVEL CR COPO PL 50ML SC C100 ";TERMOP COP50MLC;35843;35843;False;False;False;;;4,35;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
